disparadores,contenido,aprobado
identidad de género,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
derechos de las personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
ley de identidad de género,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
ley 26743 de identidad de género,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
ley 26743,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
ley trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
ley personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
salud para personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
tratamientos para personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
trabajo para personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
salud trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
salud integral trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
terapias de hormonización,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
hormonización,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
hormonas,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
testosterona para trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
estrógeno para trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
cirugías para trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
cirugía de reasignación de sexo,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
salud travesti,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
salud no binaria,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
salud no binario,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
personas travestis,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
personas no binarias,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
Cambio de género en el DNI,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Cambio de género en el documento,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Género DNI,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
Género documento,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
DNI trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Documento trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Soy trans quiero actualizar mi DNI,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
Soy trans quiero cambiar el género de mi DNI,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Cómo cambio el género en mi DNI,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
Cómo cambio el género en mi documento,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Trabajo para personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
bolsa de trabajo para personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
oportunidades laborales para personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
trabajo trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
acceso laboral trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
acceso al trabajo trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
Casa trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",aprobado
casa trans argentina,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
casa trans buenos aires,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
espacio de contencion para persona trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
asistencia a personas trans,"En nuestro país, por ley se reconoce el derecho a la *identidad de género*.",desaprobado
